ID,Table Names,unique_id,Company_name,year,cgpa_criteria,branch_criteria,ce,ce_shift1,ce_shift2,entc,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
151,Placement Report_modified_ 2020-21.csv,34,CrowdStrike,2020 -21,7.95,CE & IT (UG and PG),1,1,0,0,0,0,0,1,0,1,12.65
152,Placement Report_modified_ 2020-21.csv,33,Cognizant,2020 -21,6.82,All (UG and PG),6,4,2,14,10,4,6,19,7,26,4.01
153,Placement Report_modified_ 2020-21.csv,32,Cognizant,2020 -21,6.82,All (UG and PG),0,0,0,0,0,0,1,1,0,1,6.75
154,Placement Report_modified_ 2020-21.csv,31,Codevita Live,2020 -21,6.82,All (UG and PG),0,0,0,1,1,0,0,0,1,1,14.4
155,Placement Report_modified_ 2020-21.csv,30,CLSA,2020 -21,6.82,CE & IT (UG),0,0,0,0,0,0,1,0,1,1,8
156,Placement Report_modified_ 2020-21.csv,45,eQ Technologic,2020 -21,6.82,All (UG),5,5,0,0,0,0,7,10,2,12,8.5
157,Placement Report_modified_ 2020-21.csv,44,EPIKInDiFi,2020 -21,8,All (UG),0,0,0,0,0,0,0,0,0,0,12.75
158,Placement Report_modified_ 2020-21.csv,43,EnthrallTech,2020 -21,6.82,All (UG),3,3,0,0,0,0,0,3,0,3,7
159,Placement Report_modified_ 2020-21.csv,42,Endurance International,2020 -21,6.82,All (UG),0,0,0,0,0,0,1,0,1,1,3.72
160,Placement Report_modified_ 2020-21.csv,41,ElasticRun,2020 -21,6.82,CE & IT (UG),1,1,0,0,0,0,1,2,0,2,6
161,Placement Report_modified_ 2020-21.csv,40,ElasticRun,2020 -21,6.82,CE & IT (UG),0,0,0,0,0,0,1,1,0,1,8
162,Placement Report_modified_ 2020-21.csv,39,e-Zest,2020 -21,6.59,All (UG),0,0,0,0,0,0,1,0,1,1,3.2
163,Placement Report_modified_ 2020-21.csv,38,Druva,2020 -21,6.82,CE & IT (UG),0,0,0,0,0,0,0,0,0,0,12
164,Placement Report_modified_ 2020-21.csv,37,Deutsche Bank,2020 -21,7.95,All (UG),10,7,3,0,0,0,3,9,4,13,19.63
165,Placement Report_modified_ 2020-21.csv,57,Growisto,2020 -21,NC,All (UG),0,0,0,0,0,0,0,0,0,0,6.5
166,Placement Report_modified_ 2020-21.csv,56,Goldman Sachs,2020 -21,PPO,All (UG and PG),3,2,1,0,0,0,0,1,2,3,23
